date,ticker,open_to_close_move
2023-08-08,CVX,"0,01121"
2023-08-03,QCOM,"0,01491"
2023-08-02,AMZN,"-0,01471"
2023-08-02,TSM,"-0,01867"
2023-08-02,ROST,"-0,01027"
2023-07-27,HON,"-0,03583"
2023-07-25,CDNS,"0,02782"
2023-07-20,KLAC,"-0,01895"
2023-07-07,NEE,"-0,00662"
2023-07-07,BMY,"-0,00917"
2023-07-07,SPOT,"0,00288"
2023-06-29,GILD,"0,00198"
2023-06-28,GILD,"0,00382"
2023-06-28,KHC,"-0,00624"
2023-06-27,GILD,"-0,00835"
2023-06-23,CVX,"0,00245"
2023-06-23,NXPI,"-0,00966"
2023-06-22,BAC,"-0,01930"
2023-06-22,CVX,"-0,00456"
2023-06-08,MA,"-0,00501"
2023-05-31,EBAY,"-0,01653"
2023-05-30,JD,"-0,02698"
2023-05-25,ALL,"-0,01342"
2023-05-23,IDXX,"-0,04240"
2023-05-05,MCHP,"0,05873"
2023-05-05,TEAM,"0,00796"
2023-04-28,GM,"0,01882"
2023-04-28,TEAM,"-0,01809"
2023-04-27,GM,"0,01112"
2023-04-27,ALGN,"-0,01345"
2023-04-20,T,"-0,05665"
2023-04-20,ROKU,"-0,03442"
2023-04-20,NXPI,"0,01935"
2023-04-20,MCHP,"-0,00296"
2023-04-19,PFE,"-0,00458"
2023-04-06,TSM,"0,00658"
2023-04-06,IDXX,"-0,00552"
2023-03-24,MMM,"0,00787"
2023-03-23,SQ,"0,03132"
2023-03-20,F,"-0,01324"
2023-03-17,PM,"-0,00462"
2023-03-15,MRO,"-0,04257"
2023-03-15,BIDU,"0,00979"
2023-03-13,NKE,"0,00881"
2023-03-13,MMM,"-0,00164"
2023-03-13,MRO,"-0,01671"
2023-03-13,LUV,"-0,03390"
2023-03-10,ORCL,"-0,00391"
2023-03-10,MRO,"-0,02162"
2023-03-09,KHC,"-0,00224"
2023-03-02,JNJ,"0,00494"
2023-03-02,PFE,"0,01448"
2023-03-02,DLTR,"0,03030"
2023-03-01,JNJ,"-0,00281"
2023-03-01,EXC,"-0,00774"
2023-02-28,UNH,"-0,01440"
2023-02-23,GILD,"-0,00734"
2023-02-17,MRO,"-0,01147"
2023-02-16,PAYX,"0,00809"
2023-02-15,MRO,"-0,01991"
2023-02-10,CRM,"-0,00379"
2023-02-08,ATVI,"-0,00137"
2023-02-08,ILMN,"-0,05146"
2023-02-06,ATVI,"-0,02888"
2023-02-02,GILD,"-0,01184"
2023-02-01,EA,"-0,00017"
2023-01-27,HD,"0,01493"
2023-01-26,HD,"-0,00111"
2023-01-26,CSX,"-0,01471"
2023-01-25,DXCM,"0,00241"
2023-01-25,BP,"0,00714"
2023-01-24,MMM,"-0,00905"
2023-01-19,ABT,"0,00657"
2023-01-18,XPEV,"-0,03598"
2022-12-21,CCL,"0,07616"
2022-12-12,REGN,"0,01685"
2022-11-30,PG,"0,02376"
2022-11-30,CTAS,"0,02556"
2022-11-29,CTAS,"-0,00277"
2022-11-17,TSLA,"-0,00424"
2022-11-16,MDT,"-0,00462"
2022-11-09,AAPL,"-0,02621"
2022-11-09,DIS,"-0,04208"
2022-11-08,MDT,"-0,01945"
2022-11-04,ADBE,"-0,01560"
2022-11-03,ADBE,"-0,03736"
2022-11-03,HD,"-0,00825"
2022-11-03,MAR,"-0,02203"
2022-11-03,DOW,"0,00475"
2022-11-03,CTSH,"-0,00307"
2022-10-20,DHR,"0,00546"
2022-10-20,ALL,"0,00978"
2022-10-19,BIDU,"-0,05790"
2022-10-13,UNH,"0,03563"
2022-09-30,LRCX,"0,02163"
2022-09-28,KLAC,"0,03190"
2022-09-23,MNST,"0,00717"
2022-09-22,MNST,"0,00110"
2022-09-20,LUV,"-0,01349"
2022-09-20,EXC,"-0,00465"
2022-09-12,AMGN,"-0,00155"
2022-09-08,T,"-0,00474"
2022-09-07,T,"0,00716"
2022-08-29,DOW,"0,01075"
2022-08-25,BMY,"-0,01596"
2022-08-22,CCL,"-0,01468"
2022-08-19,AAPL,"-0,00873"
2022-08-19,AMGN,"0,01308"
2022-08-17,JNJ,"0,00709"
2022-08-12,ILMN,"0,03962"
2022-08-11,PFE,"0,00166"
2022-08-11,AZN,"-0,00598"
2022-07-29,ROKU,"-0,00877"
2022-07-28,CMCSA,"-0,00485"
2022-07-14,TEAM,"-0,03867"
2022-07-13,TEAM,"0,03658"
2022-06-30,GOOGL,"-0,00942"
2022-06-22,PAYX,"0,00640"
2022-06-17,NFLX,"0,01083"
2022-06-17,PAYX,"-0,00721"
2022-06-17,ALGN,"0,01481"
2022-06-16,MSFT,"-0,00354"
2022-06-16,TSM,"-0,00798"
2022-06-16,NFLX,"-0,00368"
2022-06-16,DIS,"0,00319"
2022-06-16,ASML,"-0,02420"
2022-06-16,QCOM,"-0,04293"
2022-06-16,ISRG,"-0,00579"
2022-06-16,DHR,"0,00492"
2022-06-16,HON,"-0,01083"
2022-06-16,GM,"-0,04292"
2022-06-16,GE,"-0,02491"
2022-06-16,MAR,"-0,03083"
2022-06-16,SPOT,"-0,04358"
2022-06-16,ALGN,"-0,02381"
2022-06-15,GE,"0,00189"
2022-06-14,DIS,"-0,02129"
2022-06-14,GE,"0,00162"
2022-06-14,ALL,"-0,01254"
2022-06-13,GOOGL,"-0,00349"
2022-06-13,ASML,"-0,00898"
2022-06-13,ORCL,"-0,02752"
2022-06-13,MRVL,"-0,04073"
2022-06-13,GM,"-0,04666"
2022-06-13,GE,"-0,02505"
2022-06-13,AAL,"-0,05666"
2022-06-13,CDNS,"-0,01898"
2022-06-13,MAR,"-0,01234"
2022-06-13,CTAS,"-0,02549"
2022-06-13,ALL,"0,01225"
2022-06-10,GS,"-0,03374"
2022-06-10,EXC,"-0,00282"
2022-06-10,ALL,"-0,00781"
2022-06-09,TXN,"-0,02085"
2022-05-25,GM,"0,03123"
2022-05-24,QCOM,"-0,01381"
2022-05-24,GM,"-0,00844"
2022-05-24,CSX,"-0,00226"
2022-05-24,LUV,"-0,01995"
2022-05-24,PCAR,"0,00809"
2022-05-23,QCOM,"0,01701"
2022-05-20,FDX,"-0,00530"
2022-05-11,HD,"-0,02913"
2022-05-09,TSLA,"-0,05871"
2022-05-09,XPEV,"-0,06486"
2022-05-09,F,"-0,03465"
2022-04-26,GE,"-0,05144"
2022-04-22,ISRG,"-0,08375"
2022-04-20,DIS,"-0,01190"
2022-04-14,CSX,"0,00487"
2022-04-08,CDNS,"-0,01903"
2022-04-06,CRM,"-0,02139"
2022-04-06,HD,"0,00148"
2022-04-06,MRVL,"-0,00539"
2022-04-01,UNH,"0,00337"
2022-03-15,NFLX,"0,02563"
2022-03-14,TSLA,"-0,01869"
2022-03-14,NFLX,"-0,02329"
2022-03-14,SNPS,"-0,04489"
2022-03-14,IDXX,"-0,02251"
2022-03-07,LRCX,"-0,07328"
2022-03-04,KO,"0,01806"
2022-03-01,PDD,"-0,01354"
2022-02-28,NKE,"-0,00358"
2022-02-28,PDD,"0,02050"
2022-02-28,EA,"0,01894"
2022-02-24,KO,"0,00900"
2022-02-24,MDLZ,"-0,01011"
2022-02-24,BIIB,"-0,00849"
2022-02-24,FAST,"0,02874"
2022-02-24,ALL,"0,00216"
2022-02-23,INTU,"-0,05062"
2022-02-23,ROKU,"-0,03025"
2022-02-22,MELI,"-0,02509"
2022-02-03,TSM,"-0,01326"
2022-02-02,GILD,"0,00489"
2022-01-19,EBAY,"0,00533"
2022-01-18,AMZN,"-0,00114"
2022-01-18,GOOGL,"-0,00106"
2022-01-18,SQ,"-0,00031"
2022-01-18,EBAY,"-0,01895"
2022-01-14,AMZN,"0,01230"
2022-01-14,GS,"-0,00309"
2022-01-14,MELI,"0,01743"
2022-01-14,ADSK,"0,00399"
2022-01-14,DLTR,"-0,01156"
2022-01-12,ASML,"0,00399"
2022-01-11,NFLX,"0,00719"
2022-01-11,ASML,"0,03136"
2022-01-11,FDX,"-0,00355"
2022-01-10,ASML,"0,01471"
2022-01-07,TXN,"-0,01390"
2022-01-05,MSFT,"-0,02922"
2022-01-05,INTU,"-0,02581"
2022-01-04,DHR,"-0,01847"
2021-12-20,SNPS,"0,01310"
2021-12-17,SNPS,"0,00360"
2021-12-16,REGN,"-0,01976"
2021-12-14,ADBE,"-0,03223"
2021-12-03,ADBE,"-0,06303"
2021-11-30,T,"-0,03384"
2021-11-30,CMCSA,"-0,02573"
2021-11-29,CMCSA,"-0,00078"
2021-11-24,TMUS,"-0,00504"
2021-11-19,CCL,"0,00589"
2021-11-18,MELI,"-0,02696"
2021-11-18,MDT,"-0,00187"
2021-10-29,CHTR,"0,01029"
2021-10-28,BIIB,"0,01701"
2021-10-27,MA,"-0,03534"
2021-10-12,MDT,"-0,00695"
2021-09-28,KLAC,"-0,01447"
2021-09-24,NKE,"-0,00967"
2021-09-22,FDX,"-0,02191"
2021-09-20,SQ,"0,02038"
2021-09-20,FDX,"-0,00524"
2021-09-20,MMM,"0,01052"
2021-09-20,IDXX,"0,00444"
2021-09-16,SQ,"0,02528"
2021-09-15,ATVI,"0,00681"
2021-09-14,ATVI,"-0,01183"
2021-09-08,MRVL,"-0,00821"
2021-09-07,HON,"-0,02095"
2021-08-26,ROST,"-0,02859"
2021-08-25,T,"-0,00073"
2021-08-24,T,"-0,00291"
2021-08-20,TSM,"-0,00953"
2021-08-19,XPEV,"-0,02494"
2021-08-16,XPEV,"-0,02849"
2021-08-12,AVGO,"0,00344"
2021-08-12,MU,"-0,02660"
2021-08-06,KHC,"-0,00081"
2021-08-04,BKNG,"-0,01999"
2021-07-26,AZN,"-0,01269"
2021-07-23,GM,"-0,00669"
2021-07-19,AAL,"0,00797"
2021-07-19,MDT,"-0,01602"
2021-07-19,LUV,"0,00958"
2021-07-19,CTSH,"-0,01846"
2021-07-16,MDT,"0,00127"
2021-07-13,BA,"-0,01752"
2021-06-18,CSX,"-0,00702"
2021-05-19,TSM,"0,03576"
2021-05-19,FCX,"-0,01237"
2021-05-17,TSM,"0,00678"
2021-05-12,DIS,"-0,01577"
2021-05-12,PDD,"0,00242"
2021-05-10,MAR,"-0,02908"
2021-05-06,CTSH,"-0,00146"
2021-05-04,PCAR,"-0,00585"
2021-04-30,AVGO,"-0,00737"
2021-04-30,MRVL,"-0,02511"
2021-04-22,JPM,"-0,01910"
2021-04-22,MU,"-0,03957"
2021-04-21,NFLX,"0,00146"
2021-04-21,SPOT,"-0,02077"
2021-04-20,QCOM,"-0,00862"
2021-04-06,PCAR,"0,00552"
2021-03-12,ADI,"0,00633"
2021-03-12,BIIB,"-0,00139"
2021-03-08,FAST,"-0,00910"
2021-03-04,BIIB,"-0,01148"